naics_description,license_count,share_of_total
"All Other Miscellaneous Nonmetallic Mineral Product Manufacturing",1,0.01
"Relay and Industrial Control Manufacturing",1,0.01
"Printing and Writing Paper Merchant Wholesalers",1,0.01
"Junior Colleges",1,0.01
"Support Activities for Oil and Gas Operations",1,0.01
"Funeral Homes and Funeral Services",1,0.01
"Books Printing",1,0.01
"Scenic and Sightseeing Transportation, Land",1,0.01
"Totalizing Fluid Meter and Counting Device Manufacturing",1,0.01
"Oil and Gas Field Machinery and Equipment Manufacturing",1,0.01
"Direct Mail Advertising",1,0.01
"Saw Blade and Handtool Manufacturing",1,0.01
"Cut Stock, Resawing Lumber, and Planing",1,0.01
"Support Activities for Rail Transportation",1,0.01
"Petroleum Refineries",1,0.01
"Farm Product Warehousing and Storage",1,0.01
"Construction Machinery Manufacturing",1,0.01
"Nursery and Tree Production",1,0.01
"Iron and Steel Mills and Ferroalloy Manufacturing",1,0.01
"Ophthalmic Goods Merchant Wholesalers",1,0.01
"Surgical and Medical Instrument Manufacturing",1,0.01
"Flat Glass Manufacturing",1,0.01
"Roasted Nuts and Peanut Butter Manufacturing",1,0.01
"Meat and Meat Product Merchant Wholesalers",1,0.01
"Solid Waste Landfill",1,0.01
"Mineral Wool Manufacturing",1,0.01
"Musical Instrument and Supplies Retailers",1,0.01
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",1,0.01
"Inland Water Freight Transportation",1,0.01
